,Unnamed: 0.1,date,range_numeric,floor_area_sqm,lease_commence_date,remaining_lease,resale_price,monthly_median_price,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3
330,330,1995-05-01,0.0610264913104613,-1.2861891389359132,1969,0.0761528506579149,26000.0,35000.0,35000.0,35000.0,35000.0,32000.0,5196.15242270661
331,331,1995-05-01,-1.1784796725877336,-1.2861891389359132,1969,0.0761528506579149,39000.0,35000.0,35000.0,35000.0,35000.0,33333.333333333336,6658.328118479373
335,335,1995-06-01,-1.1784796725877336,-1.2861891389359132,1969,0.0761528506579149,25500.0,31000.0,31000.0,31000.0,31000.0,34666.666666666664,8779.7114607106
336,336,1995-06-01,-1.1784796725877336,-1.2861891389359132,1969,0.0761528506579149,31000.0,31000.0,31000.0,31000.0,31000.0,33166.666666666664,8948.929172439186
340,340,1995-07-01,0.6807795732595588,0.7184602031295791,1975,0.8700008694526244,34500.0,34000.0,34000.0,34000.0,34000.0,36833.333333333336,4481.443219916212
341,341,1995-07-01,-1.1784796725877336,-1.2861891389359132,1969,0.0761528506579149,34000.0,34000.0,34000.0,34000.0,34000.0,34166.666666666664,288.67513459434656
345,345,1995-08-01,0.0610264913104613,-1.2861891389359132,1969,0.0761528506579149,35000.0,35500.0,35500.0,35500.0,35500.0,42333.333333333336,7505.5534994651025
346,346,1995-08-01,-0.5587265906386362,-1.2861891389359132,1969,0.0761528506579149,36000.0,35500.0,35500.0,35500.0,35500.0,37666.666666666664,3785.9388972001366
347,347,1995-08-01,-0.5587265906386362,-1.2861891389359132,1969,0.0761528506579149,32000.0,35500.0,35500.0,35500.0,35500.0,34333.333333333336,2081.665999466075
348,348,1995-08-01,0.0610264913104613,0.7184602031295791,1975,0.8700008694526244,34000.0,35500.0,35500.0,35500.0,35500.0,34000.0,1999.999999999942
349,349,1995-08-01,-1.1784796725877336,0.7184602031295791,1975,0.8700008694526244,28500.0,35500.0,35500.0,35500.0,35500.0,31500.0,2783.8821814149824
356,356,1995-10-01,0.0610264913104613,0.7184602031295791,1977,1.1346168757175277,49500.0,36000.0,36000.0,36000.0,36000.0,46000.0,3774.9172176352927
357,357,1995-10-01,-1.1784796725877336,-1.2861891389359132,1969,0.0761528506579149,37500.0,36000.0,36000.0,36000.0,36000.0,43000.0,6062.177826491025
358,358,1995-10-01,-1.1784796725877336,-1.2861891389359132,1969,0.0761528506579149,35000.0,36000.0,36000.0,36000.0,36000.0,40666.666666666664,7751.34396948896
359,359,1995-10-01,-0.5587265906386362,-1.2861891389359132,1969,0.0761528506579149,33000.0,36000.0,36000.0,36000.0,36000.0,35166.666666666664,2254.624876411384
360,360,1995-10-01,0.0610264913104613,-1.2861891389359132,1969,0.0761528506579149,35000.0,36000.0,36000.0,36000.0,36000.0,34333.333333333336,1154.7005383791407
361,361,1995-10-01,0.6807795732595588,-1.2861891389359132,1969,0.0761528506579149,36000.0,36000.0,36000.0,36000.0,36000.0,34666.666666666664,1527.525231651859
362,362,1995-10-01,0.6807795732595588,0.7184602031295791,1975,0.8700008694526244,33000.0,36000.0,36000.0,36000.0,36000.0,34666.666666666664,1527.525231651859
