year_month,mean,median_price,high_price,low_price,Index,Change,prev_close,rolling_mean
2010-04-01,355058.25344855967,345000.0,380000.0,315000.0,116.6200484,4.00%,352107.48839779006,341933.3333333333
2010-05-01,355058.25344855967,345000.0,380000.0,315000.0,116.6200484,4.00%,355058.25344855967,343600.0
2010-06-01,363854.8582089552,355000.0,390000.0,322000.0,116.6200484,4.00%,355058.25344855967,348333.3333333333
2010-07-01,374902.7800987467,363000.0,400000.0,333000.0,121.2848504,4.00%,363854.8582089552,354333.3333333333
2010-08-01,374902.7800987467,363000.0,400000.0,333000.0,121.2848504,4.00%,374902.7800987467,360333.3333333333
2010-09-01,381919.9452614379,370000.0,407000.0,338950.0,121.2848504,4.00%,374902.7800987467,365333.3333333333
2010-10-01,391912.1333078394,380000.0,418000.0,345000.0,124.4382565,2.60%,381919.9452614379,371000.0
2010-11-01,391912.1333078394,380000.0,418000.0,345000.0,124.4382565,2.60%,391912.1333078394,376666.6666666667
2010-12-01,396487.7085927771,381000.0,420500.0,354000.0,124.4382565,2.60%,391912.1333078394,380333.3333333333
2011-01-01,396942.7233898305,385000.0,420000.0,353000.0,126.4292686,1.60%,396487.7085927771,382000.0
2011-02-01,396942.7233898305,385000.0,420000.0,353000.0,126.4292686,1.60%,396942.7233898305,383666.6666666667
2011-03-01,407912.03324840765,395000.0,430000.0,361000.0,126.4292686,1.60%,396942.7233898305,388333.3333333333
2011-04-01,409259.7014229249,395000.0,435000.0,365000.0,130.4750052,3.20%,407912.03324840765,391666.6666666667
2011-05-01,409259.7014229249,395000.0,435000.0,365000.0,130.4750052,3.20%,409259.7014229249,395000.0
2011-06-01,414370.1760738714,400000.0,435000.0,370000.0,130.4750052,3.20%,409259.7014229249,396666.6666666667
2011-07-01,425882.1364060357,410000.0,448000.0,380000.0,135.4330554,3.80%,414370.1760738714,401666.6666666667
2011-08-01,425882.1364060357,410000.0,448000.0,380000.0,135.4330554,3.80%,425882.1364060357,406666.6666666667
2011-09-01,433258.2053291536,415000.0,456500.0,385500.0,135.4330554,3.80%,425882.1364060357,411666.6666666667
2011-10-01,439279.7551834131,425000.0,463000.0,393250.0,137.7354173,1.70%,433258.2053291536,416666.6666666667
2011-11-01,439279.7551834131,425000.0,463000.0,393250.0,137.7354173,1.70%,439279.7551834131,421666.6666666667
2011-12-01,436206.6196769457,420000.0,461800.0,394000.0,137.7354173,1.70%,439279.7551834131,423333.3333333333
2012-01-01,443150.04409171076,428000.0,468000.0,397000.0,138.5618298,0.60%,436206.6196769457,424333.3333333333
2012-01-01,443150.04409171076,428000.0,468000.0,397000.0,148.6574017,1.30%,443150.04409171076,425333.3333333333
2012-02-01,443150.04409171076,428000.0,468000.0,397000.0,138.5618298,0.60%,443150.04409171076,428000.0
2012-02-01,443150.04409171076,428000.0,468000.0,397000.0,148.6574017,1.30%,443150.04409171076,428000.0
2012-03-01,444956.9541864139,430000.0,470000.0,402000.0,138.5618298,0.60%,443150.04409171076,428666.6666666667
2012-03-01,444956.9541864139,430000.0,470000.0,402000.0,148.6574017,1.30%,444956.9541864139,429333.3333333333
2012-04-01,448892.04228119703,432000.0,473000.0,402000.0,140.3631336,1.30%,444956.9541864139,430666.6666666667
2012-05-01,448892.04228119703,432000.0,473000.0,402000.0,140.3631336,1.30%,448892.04228119703,431333.3333333333
2012-06-01,453255.6043715847,435000.0,482000.0,405000.0,140.3631336,1.30%,448892.04228119703,433000.0
2012-07-01,451554.0909090909,437000.0,475000.0,408000.0,143.1703963,2.00%,453255.6043715847,434666.6666666667
2012-08-01,451554.0909090909,437000.0,475000.0,408000.0,143.1703963,2.00%,451554.0909090909,436333.3333333333
2012-09-01,462728.75692695216,445000.0,486750.0,413916.0,143.1703963,2.00%,451554.0909090909,439666.6666666667
2012-10-01,467402.39090779127,450000.0,493000.0,418000.0,146.7496562,2.50%,462728.75692695216,444000.0
2012-11-01,467402.39090779127,450000.0,493000.0,418000.0,146.7496562,2.50%,467402.39090779127,448333.3333333333
2012-12-01,471215.5625942685,455000.0,494500.0,421250.0,146.7496562,2.50%,467402.39090779127,451666.6666666667
2013-04-01,483373.8738357324,462000.0,510000.0,428000.0,149.4006887,0.50%,471215.5625942685,455666.6666666667
2013-05-01,483373.8738357324,462000.0,510000.0,428000.0,149.4006887,0.50%,483373.8738357324,459666.6666666667
2013-06-01,490736.6632996633,465000.0,527750.0,430000.0,149.4006887,0.50%,483373.8738357324,463000.0
2013-07-01,482009.91449814127,460000.0,510000.0,425000.0,148.0560825,-0.90%,490736.6632996633,462333.3333333333
2013-08-01,482009.91449814127,460000.0,510000.0,425000.0,148.0560825,-0.90%,482009.91449814127,461666.6666666667
2013-09-01,482094.7961165049,460000.0,510000.0,420000.0,148.0560825,-0.90%,482009.91449814127,460000.0
2013-10-01,474234.153531218,450000.0,500000.0,417000.0,145.6871852,-1.60%,482094.7961165049,456666.6666666667
2013-11-01,474234.153531218,450000.0,500000.0,417000.0,145.6871852,-1.60%,474234.153531218,453333.3333333333
2013-12-01,471654.8597194389,446800.0,495000.0,413444.0,145.6871852,-1.60%,474234.153531218,448933.3333333333
2014-01-01,464790.5702075702,445000.0,495444.0,408250.0,143.3561903,-1.60%,471654.8597194389,447266.6666666667
2014-02-01,464790.5702075702,445000.0,495444.0,408250.0,143.3561903,-1.60%,464790.5702075702,445600.0
2014-03-01,460176.8376708861,439000.0,490000.0,401444.0,143.3561903,-1.60%,464790.5702075702,443000.0
2014-04-01,457689.90917107585,438000.0,489500.0,400000.0,141.3492036,-1.40%,460176.8376708861,440666.6666666667
2014-05-01,457689.90917107585,438000.0,489500.0,400000.0,141.3492036,-1.40%,457689.90917107585,438333.3333333333
2014-06-01,451345.23224080267,427500.0,485000.0,392000.0,141.3492036,-1.40%,457689.90917107585,434500.0
2014-07-01,441620.6887550201,420000.0,470000.0,390000.0,138.9462671,-1.70%,451345.23224080267,428500.0
2014-08-01,441620.6887550201,420000.0,470000.0,390000.0,138.9462671,-1.70%,441620.6887550201,422500.0
2014-09-01,441922.2236598891,420000.0,470888.0,380000.0,138.9462671,-1.70%,441620.6887550201,420000.0
2014-10-01,434800.41231028666,410000.0,460000.0,380000.0,136.8620731,-1.50%,441922.2236598891,416666.6666666667
2014-11-01,434800.41231028666,410000.0,460000.0,380000.0,136.8620731,-1.50%,434800.41231028666,413333.3333333333
2014-12-01,429519.358974359,410000.0,458000.0,378000.0,136.8620731,-1.50%,434800.41231028666,410000.0
2015-01-01,436581.3157380254,410000.0,460888.0,375000.0,135.4934524,-1.00%,429519.358974359,410000.0
2015-02-01,436581.3157380254,410000.0,460888.0,375000.0,135.4934524,-1.00%,436581.3157380254,410000.0
2015-03-01,439245.5263157895,405000.0,463000.0,370000.0,135.4934524,-1.00%,436581.3157380254,408333.3333333333
2015-04-01,434737.133784928,406000.0,460000.0,370000.0,134.9514786,-0.40%,439245.5263157895,407000.0
2015-05-01,434737.133784928,406000.0,460000.0,370000.0,134.9514786,-0.40%,434737.133784928,405666.6666666667
2015-06-01,433867.7363636364,400000.0,458000.0,368000.0,134.9514786,-0.40%,434737.133784928,404000.0
2015-07-01,429986.18396946567,400000.0,458000.0,366000.0,134.5466241,-0.30%,433867.7363636364,402000.0
2015-08-01,429986.18396946567,400000.0,458000.0,366000.0,134.5466241,-0.30%,429986.18396946567,400000.0
2015-09-01,433113.8669001751,400000.0,450000.0,366000.0,134.5466241,-0.30%,429986.18396946567,400000.0
2015-10-01,431942.88786585367,400000.0,458000.0,365000.0,134.6811708,0.10%,433113.8669001751,400000.0
2015-11-01,431942.88786585367,400000.0,458000.0,365000.0,134.6811708,0.10%,431942.88786585367,400000.0
2015-12-01,435728.006779661,402000.0,465000.0,365000.0,134.6811708,0.10%,431942.88786585367,400666.6666666667
2016-01-01,429682.60914814816,400000.0,458500.0,365000.0,134.5464896,-0.10%,435728.006779661,400666.6666666667
2016-02-01,429682.60914814816,400000.0,458500.0,365000.0,134.5464896,-0.10%,429682.60914814816,400666.6666666667
2016-03-01,430824.5020242915,400000.0,460000.0,360000.0,134.5464896,-0.10%,429682.60914814816,400000.0
2016-04-01,434273.3733700137,404000.0,460000.0,365000.0,134.5464896,0.00%,430824.5020242915,401333.3333333333
2016-05-01,434273.3733700137,404000.0,460000.0,365000.0,134.5464896,0.00%,434273.3733700137,402666.6666666667
2016-06-01,435842.1275,406044.0,460000.0,368666.0,134.5464896,0.00%,434273.3733700137,404681.3333333333
2016-07-01,436575.1477190442,408000.0,465000.0,365000.0,134.5464896,0.00%,435842.1275,406014.6666666667
2016-08-01,436575.1477190442,408000.0,465000.0,365000.0,134.5464896,0.00%,436575.1477190442,407348.0
2016-09-01,432736.6274007682,405000.0,460000.0,363000.0,134.5464896,0.00%,436575.1477190442,407000.0
2016-10-01,432599.33770014555,408000.0,460000.0,365000.0,134.4119431,-0.10%,432736.6274007682,407000.0
2016-11-01,432599.33770014555,408000.0,460000.0,365000.0,134.4119431,-0.10%,432599.33770014555,407000.0
2016-12-01,437892.15765765763,405000.0,475000.0,360000.0,134.4119431,-0.10%,432599.33770014555,407000.0
2017-01-01,435795.2544769086,410000.0,465000.0,360000.0,133.7398834,-0.50%,437892.15765765763,407666.6666666667
2017-02-01,435795.2544769086,410000.0,465000.0,360000.0,133.7398834,-0.50%,435795.2544769086,408333.3333333333
2017-03-01,436638.2604651163,408000.0,477472.0,358500.0,133.7398834,-0.50%,435795.2544769086,409333.3333333333
2017-04-01,439548.2913570982,410000.0,476500.0,363000.0,133.6061435,-0.10%,436638.2604651163,409333.3333333333
2017-05-01,439548.2913570982,410000.0,476500.0,363000.0,133.6061435,-0.10%,439548.2913570982,409333.3333333333
2017-06-01,437961.7127272727,408000.0,478000.0,358000.0,133.6061435,-0.10%,439548.2913570982,409333.3333333333
